Riser Length,"ET, Stretch","ET,Slack"
1203.414787,11426.88281,1145.888916
1209.972875,11423.61035,1145.192261
1216.530962,11420.31738,1144.495361
1223.08905,11417.00391,1143.798096
1229.647137,11413.66992,1143.100464
1236.205224,11410.31445,1142.40271
1242.763312,11406.93945,1141.70459
1249.321399,11403.54297,1141.006348
1255.879487,11400.125,1140.307983
1262.437574,11396.68652,1139.609375
1268.995662,11393.22754,1138.910645
1275.553749,11389.74805,1138.211792
1282.111837,11386.24707,1137.512817
1288.669924,11382.72461,1136.813721
1295.228012,11379.18164,1136.114746
1301.786099,11375.61719,1135.415649
1308.344187,11372.03223,1134.716431
1314.902274,11368.42676,1134.017334
1321.460362,11364.79883,1133.318237
1328.018449,11361.15137,1132.619263
1334.576536,11357.48145,1131.920288
1341.134624,11353.79199,1131.221436
1347.692711,11350.08008,1130.522705
1354.250799,11346.34863,1129.824097
1360.808886,11342.59473,1129.125732
1367.366974,11338.82129,1128.427612
1373.925061,11335.02539,1127.729614
1380.483149,11331.20898,1127.03186
1387.041236,11327.37109,1126.334473
1393.599324,11323.5127,1125.637207
1400.157411,11319.63184,1124.94043
1406.715499,11315.73047,1124.243896
1413.273586,11311.80664,1123.547607
1419.831673,11307.8623,1122.851807
1426.389761,11303.89551,1122.15625
1432.947848,11299.90723,1121.46106
1439.505936,11295.89844,1120.766357
1446.064023,11291.86621,1120.071899
1452.622111,11287.81348,1119.37793
1459.180198,11283.73828,1118.684326
1465.738286,11279.64063,1117.991089
1472.296373,11275.52246,1117.29834
1478.854461,11271.38086,1116.606079
1485.412548,11267.21875,1115.914185
1491.970636,11263.0332,1115.2229
1498.528723,11258.82715,1114.531982
1505.08681,11254.59863,1113.841553
1511.644898,11250.34863,1113.151733
1518.202985,11246.07715,1112.462524
1524.761073,11241.7832,1111.773804
1531.31916,11237.46777,1111.085693
1537.877248,11233.13086,1110.398071
1544.435335,11228.77246,1109.711182
1550.993423,11224.3916,1109.02478
1557.55151,11219.98926,1108.339111
1564.109598,11215.56445,1107.653931
1570.667685,11211.11816,1106.96936
1577.225773,11206.65039,1106.285522
1583.78386,11202.16016,1105.602173
1590.341948,11197.64844,1104.919556
1596.900035,11193.11426,1104.237549
1603.458122,11188.55859,1103.556152
1610.01621,11183.98242,1102.875488
1616.574297,11179.38379,1102.195435
1623.132385,11174.76367,1101.516113
1629.690472,11170.12207,1100.837402
1636.24856,11165.45898,1100.159424
1642.806647,11160.77539,1099.482178
1649.364735,11156.07031,1098.805664
1655.922822,11151.34375,1098.129761
1662.48091,11146.5957,1097.454712
1669.038997,11141.82715,1096.780273
1675.597085,11137.03711,1096.106567
1682.155172,11132.22559,1095.433594
1688.713259,11127.39355,1094.761353
1695.271347,11122.54004,1094.089844
1701.829434,11117.66602,1093.419067
1708.387522,11112.76953,1092.749023
1714.945609,11107.85254,1092.079834
1721.503697,11102.91406,1091.411255
1728.061784,11097.95508,1090.74353
1734.619872,11092.97461,1090.076538
