RiserSlack,Stress,YieldStrength
27.02,93.9,125
27.03,94.1,125
27.03,94.3,125
27.03,94.6,125
27.03,94.8,125
27.03,95.1,125
27.04,95.4,125
27.04,95.7,125
27.04,96,125
27.04,96.2,125
27.04,96.5,125
27.04,96.7,125
27.05,96.9,125
27.05,97.1,125
27.05,97.2,125
27.05,97.3,125
27.05,97.3,125
27.06,97.3,125
27.06,97.3,125
27.06,97.2,125
27.06,97.2,125
27.06,97.1,125
27.07,97,125
27.07,96.9,125
27.07,96.9,125
27.07,96.8,125
27.07,96.7,125
27.07,96.7,125
27.08,96.7,125
27.08,96.6,125
27.08,96.6,125
27.08,96.6,125
27.08,96.6,125
27.08,96.7,125
27.08,96.7,125
27.08,96.7,125
27.08,96.7,125
27.08,96.7,125
27.08,96.7,125
27.08,96.6,125
27.08,96.6,125
27.08,96.5,125
27.08,96.5,125
27.08,96.4,125
27.08,96.3,125
27.08,96.2,125
27.08,96.1,125
27.08,96,125
27.08,95.9,125
27.08,95.8,125
27.08,95.6,125
27.08,95.5,125
27.08,95.4,125
27.08,95.3,125
27.08,95.1,125
27.08,95,125
27.08,94.9,125
27.08,94.8,125
27.08,94.7,125
27.08,94.6,125
27.08,94.6,125
27.08,94.5,125
27.08,94.4,125
27.08,94.4,125
27.08,94.4,125
27.07,94.3,125
27.07,94.3,125
27.07,94.3,125
27.07,94.3,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.2,125
27.07,94.1,125
27.07,94.1,125
27.07,94.1,125
27.07,94.1,125
27.07,94.1,125
27.07,94,125
27.07,94,125
27.07,94,125
27.07,94,125
27.07,93.9,125
27.07,93.9,125
27.07,93.8,125
27.07,93.8,125
27.07,93.8,125
27.07,93.7,125
27.07,93.7,125
27.07,93.7,125
27.07,93.7,125
27.07,93.6,125
27.07,93.6,125
27.07,93.6,125
27.07,93.6,125
27.07,93.6,125
27.07,93.6,125
27.07,93.6,125
27.07,93.7,125
27.07,93.7,125
27.07,93.7,125
27.07,93.8,125
27.07,93.8,125
27.07,93.9,125
27.07,94,125
27.07,94,125
27.07,94.1,125
27.07,94.2,125
27.07,94.3,125
27.07,94.4,125
27.07,94.4,125
27.07,94.5,125
27.07,94.6,125
27.07,94.7,125
27.07,94.8,125
27.08,94.9,125
27.08,95,125
27.08,95,125
27.08,95.1,125
27.08,95.2,125
27.08,95.3,125
27.08,95.4,125
27.08,95.5,125
27.09,95.5,125
27.09,95.6,125
27.09,95.7,125
27.09,95.8,125
27.09,95.8,125
27.1,95.9,125
27.1,95.9,125
27.1,96,125
27.1,96,125
27.1,96,125
27.11,96.1,125
27.11,96.1,125
27.11,96.1,125
27.11,96.2,125
27.11,96.2,125
27.12,96.2,125
27.12,96.2,125
27.12,96.2,125
27.12,96.2,125
27.12,96.2,125
27.12,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.3,125
27.13,96.4,125
27.13,96.4,125
27.14,96.4,125
27.14,96.3,125
27.14,96.3,125
27.14,96.3,125
27.14,96.3,125
27.14,96.3,125
27.14,96.3,125
27.14,96.3,125
27.14,96.2,125
27.14,96.2,125
27.14,96.2,125
27.14,96.2,125
27.14,96.1,125
27.14,96.1,125
27.14,96.1,125
27.14,96,125
27.14,96,125
27.14,96,125
27.14,96,125
27.14,95.9,125
27.14,95.9,125
27.14,95.9,125
27.14,95.8,125
27.14,95.8,125
27.14,95.8,125
27.14,95.8,125
27.14,95.7,125
27.14,95.7,125
27.14,95.7,125
27.14,95.6,125
27.14,95.6,125
27.14,95.6,125
27.14,95.5,125
27.14,95.5,125
27.14,95.5,125
27.14,95.5,125
27.14,95.4,125
27.14,95.4,125
27.14,95.4,125
27.14,95.4,125
27.14,95.4,125
27.14,95.4,125
27.14,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.4,125
27.15,95.5,125
27.15,95.5,125
27.15,95.5,125
27.15,95.5,125
27.15,95.6,125
27.15,95.6,125
27.16,95.6,125
27.16,95.7,125
27.16,95.7,125
27.16,95.7,125
27.16,95.7,125
27.16,95.8,125
27.16,95.8,125
27.16,95.8,125
27.16,95.9,125
27.16,95.9,125
27.17,95.9,125
27.17,96,125
27.17,96,125
27.17,96,125
27.17,96.1,125
27.17,96.1,125
27.17,96.1,125
27.17,96.1,125
27.18,96.2,125
27.18,96.2,125
27.18,96.2,125
27.18,96.3,125
27.18,96.3,125
27.18,96.3,125
27.18,96.4,125
27.18,96.4,125
27.19,96.4,125
27.19,96.5,125
27.19,96.5,125
27.19,96.5,125
27.19,96.5,125
27.19,96.6,125
27.19,96.6,125
27.19,96.6,125
27.2,96.7,125
27.2,96.7,125
27.2,96.7,125
27.2,96.8,125
27.2,96.8,125
27.2,96.8,125
27.2,96.8,125
27.2,96.9,125
27.21,96.9,125
27.21,96.9,125
27.21,96.9,125
27.21,97,125
27.21,97,125
27.21,97,125
27.21,97,125
27.21,97,125
27.22,97.1,125
27.22,97.1,125
27.22,97.1,125
27.22,97.1,125
27.22,97.1,125
27.22,97.2,125
27.22,97.2,125
27.22,97.2,125
27.23,97.2,125
27.23,97.2,125
27.23,97.3,125
27.23,97.3,125
27.23,97.3,125
27.23,97.3,125
27.23,97.3,125
27.23,97.3,125
27.23,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.24,97.4,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.25,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.26,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.27,97.5,125
27.28,97.5,125
27.28,97.5,125
27.28,97.5,125
27.28,97.5,125
27.28,97.5,125
27.28,97.6,125
27.28,97.6,125
27.28,97.6,125
27.28,97.6,125
27.28,97.6,125
27.28,97.6,125
27.29,97.6,125
27.29,97.7,125
27.29,97.7,125
27.29,97.7,125
27.29,97.7,125
27.29,97.7,125
27.29,97.7,125
27.29,97.8,125
27.29,97.8,125
27.3,97.8,125
27.3,97.8,125
27.3,97.8,125
27.3,97.9,125
27.3,97.9,125
27.3,97.9,125
27.3,97.9,125
27.31,98,125
27.31,98,125
27.31,98,125
27.31,98,125
27.31,98,125
27.31,98.1,125
27.31,98.1,125
27.31,98.1,125
27.32,98.1,125
27.32,98.2,125
27.32,98.2,125
27.32,98.2,125
27.32,98.3,125
27.32,98.3,125
27.32,98.3,125
27.33,98.3,125
27.33,98.4,125
27.33,98.4,125
27.33,98.4,125
27.33,98.4,125
27.33,98.5,125
27.33,98.5,125
27.34,98.5,125
27.34,98.5,125
27.34,98.6,125
27.34,98.6,125
27.34,98.6,125
27.34,98.6,125
27.34,98.7,125
27.35,98.7,125
27.35,98.7,125
27.35,98.7,125
27.35,98.8,125
27.35,98.8,125
27.35,98.8,125
27.35,98.8,125
27.36,98.8,125
27.36,98.9,125
27.36,98.9,125
27.36,98.9,125
27.36,98.9,125
27.36,98.9,125
27.36,98.9,125
27.36,99,125
27.37,99,125
27.37,99,125
27.37,99,125
27.37,99,125
27.37,99,125
27.37,99,125
27.37,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.1,125
27.38,99.2,125
27.39,99.2,125
27.39,99.2,125
27.39,99.2,125
27.39,99.2,125
27.39,99.2,125
27.39,99.2,125
27.39,99.3,125
27.39,99.3,125
27.4,99.3,125
27.4,99.3,125
27.4,99.3,125
27.4,99.3,125
27.4,99.3,125
27.4,99.3,125
27.4,99.4,125
27.4,99.4,125
27.41,99.4,125
27.41,99.4,125
27.41,99.4,125
27.41,99.4,125
27.41,99.4,125
27.41,99.4,125
27.41,99.5,125
27.41,99.5,125
27.42,99.5,125
27.42,99.5,125
27.42,99.5,125
27.42,99.5,125
27.42,99.6,125
27.42,99.6,125
27.42,99.6,125
27.43,99.6,125
27.43,99.6,125
27.43,99.6,125
27.43,99.6,125
27.43,99.7,125
27.43,99.7,125
27.43,99.7,125
27.43,99.7,125
27.44,99.7,125
27.44,99.8,125
27.44,99.8,125
27.44,99.8,125
27.44,99.8,125
27.44,99.8,125
27.44,99.8,125
27.44,99.9,125
27.45,99.9,125
27.45,99.9,125
27.45,99.9,125
27.45,99.9,125
27.45,100,125
27.45,100,125
27.45,100,125
27.46,100,125
27.46,100,125
27.46,100.1,125
27.46,100.1,125
27.46,100.1,125
27.46,100.1,125
27.46,100.1,125
27.46,100.2,125
27.47,100.2,125
27.47,100.2,125
27.47,100.2,125
27.47,100.2,125
27.47,100.3,125
27.47,100.3,125
27.47,100.3,125
