Time Period (s),Surge,Sway,Heave,Roll,Pitch,Yaw
4.6,0.023,0.019,0.005,0.009,0.012,0.016
4.55,0.02,0.016,0.004,0.009,0.009,0.019
4.5,0.016,0.013,0.003,0.008,0.007,0.021
4.45,0.012,0.01,0.002,0.008,0.005,0.021
4.4,0.008,0.008,0.001,0.007,0.004,0.022
4.35,0.005,0.005,0.001,0.007,0.003,0.022
4.3,0.001,0.002,0,0.006,0.002,0.021
4.25,0.002,0.001,0,0.006,0.001,0.019
4.2,0.004,0.002,0,0.005,0.001,0.019
4.15,0.005,0.003,0.001,0.004,0.002,0.018
4.1,0.006,0.006,0.001,0.003,0.003,0.016
4.05,0.008,0.009,0.001,0.002,0.003,0.014
4,0.012,0.012,0.001,0.002,0.004,0.013
3.95,0.014,0.014,0.002,0.002,0.003,0.013
3.9,0.025,0.018,0.007,0.006,0.001,0.016
3.85,0.021,0.015,0.001,0.001,0.006,0.009
3.8,0.018,0.016,0.001,0.001,0.006,0.008
3.75,0.018,0.016,0,0.001,0.005,0.007
3.7,0.017,0.015,0,0.001,0.005,0.006
3.65,0.016,0.012,0.001,0,0.004,0.006
3.6,0.012,0.008,0,0,0.002,0.006
3.55,0.008,0.006,0,0,0.001,0.005
3.5,0.005,0.004,0,0,0.001,0.004
3.45,0.003,0.003,0,0,0.001,0.003
3.4,0.002,0.002,0,0,0,0.002
3.35,0.001,0.001,0,0,0,0.002
3.3,0,0.001,0,0,0,0.003
3.25,0.001,0.001,0,0,0,0.004
3.2,0.002,0.001,0,0,0,0.002
3.15,0.004,0.003,0.001,0,0.002,0.008
3.1,0.002,0.003,0,0,0,0.003
3.05,0.001,0.003,0,0,0.001,0.002
3,0.004,0.003,0,0,0.001,0.003
